Sentiment,TweetId,Topic,TweetText
positive,4,kindle2,Reading my kindle2...  Love it... Lee childs is good read. @kindle2
positive,5,kindle2,"Ok, first assesment of the #kindle2 ...it fucking rocks!!! @kindle2"
positive,6,kindle2,@kenburbary You'll love your Kindle2. I've had mine for a few months and never looked back. The new big one is huge! No need for remorse! :) @kindle2
positive,7,kindle2,@mikefish  Fair enough. But i have the Kindle2 and I think it's perfect  :) @kindle2
positive,8,kindle2,@richardebaker no. it is too big. I'm quite happy with the Kindle2. @kindle2
negative,9,aig,Fuck this economy. I hate aig and their non loan given asses. @aig
positive,10,jquery,Jquery is my new best friend. @jquery
positive,11,twitter,Loves twitter @twitter
positive,12,obama,how can you not love Obama? he makes jokes about himself. @obama
neutral,13,obama,Check this video out -- President Obama at the White House Correspondents' Dinner http://bit.ly/IMXUM @obama
negative,14,obama,"@Karoli I firmly believe that Obama/Pelosi have ZERO desire to be civil.  It's a charade and a slogan, but they want to destroy conservatism @obama"
positive,15,obama,"House Correspondents dinner was last night whoopi, barbara &amp; sherri went, Obama got a standing ovation @obama"
positive,16,nike,Watchin Espn..Jus seen this new Nike Commerical with a Puppet Lebron..sh*t was hilarious...LMAO!!! @nike
negative,17,nike,"dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincentx24x @nike"
positive,18,lebron,"#lebron best athlete of our generation, if not all time (basketball related) I don't want to get into inter-sport debates about   __1/2 @lebron"
negative,19,lebron,I was talking to this guy last night and he was telling me that he is a die hard Spurs fan.  He also told me that he hates LeBron James. @lebron
positive,20,lebron,i love lebron. http://bit.ly/PdHur @lebron
negative,21,lebron,"@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end. @lebron"
positive,22,lebron,@Pmillzz lebron IS THE BOSS @lebron
positive,23,lebron,"@sketchbug Lebron is a hometown hero to me, lol I love the Lakers but let's go Cavs, lol @lebron"
positive,24,lebron,lebron and zydrunas are such an awesome duo @lebron
positive,25,lebron,@wordwhizkid Lebron is a beast... nobody in the NBA comes even close. @lebron
positive,26,iphone app,downloading apps for my iphone! So much fun :-) There literally is an app for just about anything. @iphone app
positive,33,visa,"good news, just had a call from the Visa office, saying everything is fine.....what a relief! I am sick of scams out there! Stealing! @visa"
positive,34,fredwilson,http://twurl.nl/epkr4b - awesome come back from @biz (via @fredwilson) @fredwilson
positive,35,fredwilson,In montreal for a long weekend of R&amp;R. Much needed. @fredwilson
positive,46,"""booz allen""","Booz Allen Hamilton has a bad ass homegrown social collaboration platform. Way cool!  #ttiv @""booz allen"""
positive,47,"""booz allen""","[#MLUC09] Customer Innovation Award Winner: Booz Allen Hamilton -- http://ping.fm/c2hPP @""booz allen"""
positive,49,40d,"@SoChi2 I current use the Nikon D90 and love it, but not as much as the Canon 40D/50D. I chose the D90 for the  video feature. My mistake. @40d"
neutral,50,40d,need suggestions for a good IR filter for my canon 40D ... got some? pls DM @40d
neutral,117,google,@surfit: I just checked my google for my business- blip shows up as the second entry! Huh. Is that a good or ba... ? http://blip.fm/~6emhv @google
positive,118,google,"@phyreman9 Google is always a good place to look. Should've mentioned I worked on the Mustang w/ my Dad, @KimbleT. @google"
negative,119,google,Played with an android google phone. The slide out screen scares me I would break that fucker so fast. Still prefer my iPhone. @google
negative,120,aig,US planning to resume the military tribunals at Guantanamo Bay... only this time those on trial will be AIG execs and Chrysler debt holders @aig
negative,121,itchy,omg so bored &amp; my tattoooos are so itchy!!  help! aha =) @itchy
negative,122,itchy,I'm itchy and miserable! @itchy
negative,123,itchy,"@sekseemess no. I'm not itchy for now. Maybe later, lol. @itchy"
positive,124,stanford,RT @jessverr I love the nerdy Stanford human biology videos - makes me miss school. http://bit.ly/13t7NR @stanford
positive,125,lyx,"@spinuzzi: Has been a bit crazy, with steep learning curve, but LyX is really good for long docs. For anything shorter, it would be insane. @lyx"
positive,131,Danny Gokey,"I'm listening to ""P.Y.T"" by Danny Gokey &lt;3 &lt;3 &lt;3 Aww, he's so amazing. I &lt;3 him so much :) @Danny Gokey"
positive,132,sleep,is going to sleep then on a bike ride:] @sleep
negative,133,sleep,cant sleep... my tooth is aching. @sleep
negative,134,sleep,"Blah, blah, blah same old same old. No plans today, going back to sleep I guess. @sleep"
negative,135,san francisco,"glad i didnt do Bay to Breakers today, it's 1000 freaking degrees in San Francisco wtf @san francisco"
neutral,136,san francisco,is in San Francisco at Bay to Breakers. @san francisco
neutral,137,san francisco,just landed at San Francisco @san francisco
neutral,138,san francisco,San Francisco today.  Any suggestions? @san francisco
negative,139,aig,?Obama Administration Must Stop Bonuses to AIG Ponzi Schemers ... http://bit.ly/2CUIg @aig
negative,140,aig,started to think that Citi is in really deep s&amp;^t. Are they gonna survive the turmoil or are they gonna be the next AIG? @aig
negative,141,aig,ShaunWoo hate'n on AiG @aig
positive,142,star trek,@YarnThing you will not regret going to see Star Trek. It was AWESOME! @star trek
neutral,143,star trek,On my way to see Star Trek @ The Esquire. @star trek
neutral,144,star trek,Going to see star trek soon with my dad. @star trek
negative,145,Malcolm Gladwell,annoying new trend on the internets:  people picking apart michael lewis and malcolm gladwell.  nobody wants to read that. @Malcolm Gladwell
neutral,146,Malcolm Gladwell,Bill Simmons in conversation with Malcolm Gladwell http://bit.ly/j9o50 @Malcolm Gladwell
positive,147,Malcolm Gladwell,Highly recommend: http://tinyurl.com/HowDavidBeatsGoliath by Malcolm Gladwell @Malcolm Gladwell
positive,148,Malcolm Gladwell,Blink by malcolm gladwell amazing book and The tipping point! @Malcolm Gladwell
positive,149,Malcolm Gladwell,Malcolm Gladwell might be my new man crush @Malcolm Gladwell
negative,150,espn,omg. The commercials alone on ESPN are going to drive me nuts. @espn
positive,151,"""twitter api""","@robmalon Playing with Twitter API sounds fun.  May need to take a class or find a new friend who like to generate results with API code. @""twitter api"""
neutral,152,"""twitter api""","playing with cURL and the Twitter API @""twitter api"""
positive,153,"""twitter api""","Hello Twitter API ;) @""twitter api"""
neutral,154,"""twitter api""","playing with Java and the Twitter API @""twitter api"""
negative,155,"""twitter api""","@morind45 Because the twitter api is slow and most client's aren't good. @""twitter api"""
negative,156,yahoo,yahoo answers can be a butt sometimes @yahoo
positive,157,scrapbooking,is scrapbooking with Nic =D @scrapbooking
positive,172,wolfram alpha,RT @mashable: Five Things Wolfram Alpha Does Better (And Vastly Different) Than Google - http://bit.ly/6nSnR @wolfram alpha
positive,173,nike,just changed my default pic to a Nike basketball cause bball is awesome!!!!! @nike
neutral,174,nike,"Nike owns NBA Playoffs ads w/ LeBron, Kobe, Carmelo? http://ow.ly/7Uiy  #Adidas #Billups #Howard  #Marketing #Branding @nike"
neutral,175,nike,"'Next time, I'll call myself Nike' @nike"
neutral,176,nike,New blog post: Nike SB Dunk Low Premium 'White Gum' http://tr.im/lOtT @nike
negative,177,nike,RT @SmartChickPDX: Was just told that Nike layoffs started today :-( @nike
positive,178,nike,Back when I worked for Nike we had one fav word : JUST DO IT! :) @nike
positive,179,nike,"By the way, I'm totally inspired by this freaky Nike commercial: http://snurl.com/icgj9 @nike"
neutral,192,weka,"giving weka an app engine interface, using the bird strike data for the tests, the logo is a given. @weka"
neutral,194,50d,"Brand New Canon EOS 50D 15MP DSLR Camera Canon 17-85mm IS Lens ...: Web Technology Thread, Brand New Canon EOS 5.. http://u.mavrev.com/5a3t @50d"
positive,195,50d,Class... The 50d is supposed to come today :) @50d
negative,196,lambda calculus,needs someone to explain lambda calculus to him! :( @lambda calculus
negative,197,lambda calculus,Took the Graduate Field Exam for Computer Science today.  Nothing makes you feel like more of an idiot than lambda calculus. @lambda calculus
positive,198,east palo alto,SHOUT OUTS TO ALL EAST PALO ALTO FOR BEING IN THE BUILDIN KARIZMAKAZE 50CAL GTA! ALSO THANKS TO PROFITS OF DOOM UNIVERSAL HEMPZ CRACKA...... @east palo alto
negative,199,east palo alto,"@legalgeekery Yeahhhhhhhhh, I wouldn't really have lived in East Palo Alto if I could have avoided it.  I guess it's only for the summer. @east palo alto"
positive,204,stanford,@accannis @edog1203 Great Stanford course. Thanks for making it available to the public! Really helpful and informative for starting off! @stanford
neutral,205,stanford,"NVIDIA Names Stanford's Bill Dally Chief Scientist, VP Of Research http://bit.ly/Fvvg9 @stanford"
neutral,206,stanford,New blog post: Harvard Versus Stanford - Who Wins? http://bit.ly/MCoCo @stanford
positive,207,lakers,@ work til 6pm... lets go lakers!!! @lakers
negative,208,north korea,Damn you North Korea. http://bit.ly/KtMeQ @north korea
negative,209,north korea,Can we just go ahead and blow North Korea off the map already? @north korea
negative,210,north korea,"North Korea, please cease this douchebaggery. China doesn't even like you anymore. http://bit.ly/NeHSl @north korea"
negative,211,pelosi,Why the hell is Pelosi in freakin China? and on whose dime? @pelosi
negative,212,bailout,"Are YOU burning more cash $$$ than Chrysler and GM? Stop the financial tsunami. Where ""bailout"" means taking a handout! @bailout"
negative,213,insects,insects have infected my spinach plant :( @insects
negative,214,insects,wish i could catch every mosquito in the world n burn em slowly.they been bitin the shit outta me 2day.mosquitos are the assholes of insects @insects
negative,215,insects,"just got back from church, and I totally hate insects. @insects"
negative,216,mcdonalds,Just got mcdonalds goddam those eggs make me sick. O yeah Laker up date go lakers. Not much of an update? Well it's true so suck it @mcdonalds
positive,217,mcdonalds,omgg i ohhdee want mcdonalds damn i wonder if its open lol =] @mcdonalds
negative,218,exam,History exam studying ugh @exam
negative,219,exam,"I hate revision, it's so boring! I am totally unprepared for my exam tomorrow :( Things are not looking good... @exam"
negative,220,exam,"Higher physics exam tommorow, not lookin forward to it much :( @exam"
negative,222,exam,"It's a bank holiday, yet I'm only out of work now. Exam season sucks:( @exam"
negative,223,cheney,Cheney and Bush are the real culprits - http://fwix.com/article/939496 @cheney
negative,224,cheney,Life?s a bitch? and so is Dick Cheney. #p2 #bipart #tlot #tcot #hhrs #GOP #DNC http://is.gd/DjyQ @cheney
negative,225,cheney,"Dick Cheney's dishonest speech about torture, terror, and Obama. -Fred Kaplan Slate. http://is.gd/DiHg @cheney"
negative,226,republican,"""The Republican party is a bunch of anti-abortion zealots who couldn't draw flies to a dump."" -- Neal Boortz (just now, on the radio) @republican"
negative,227,twitter api,is Twitter's connections API broken? Some tweets didn't make it to Twitter... @twitter api
negative,228,twitter api,"i srsly hate the stupid twitter API timeout thing, soooo annoying!!!!! :( @twitter api"
positive,233,jquery book,"@psychemedia I really liked @kswedberg's ""Learning jQuery"" book. http://bit.ly/pg0lT is worth a look too @jquery book"
neutral,234,jquery book,jQuery UI 1.6 Book Review - http://cfbloggers.org/?c=30631 @jquery book
positive,235,goodby silverstein,"Very Interesting Ad from Adobe by Goodby, Silverstein &amp; Partners - YouTube - Adobe CS4: Le Sens Propre http://bit.ly/VprpT @goodby silverstein"
positive,236,goodby silverstein,Goodby Silverstein agency new site! http://www.goodbysilverstein.com/ Great! @goodby silverstein
positive,237,goodby silverstein,"RT @designplay Goodby, Silverstein's new site: http://www.goodbysilverstein.com/ I enjoy it. *nice find!* @goodby silverstein"
positive,238,goodby silverstein,The ever amazing Psyop and Goodby Silverstein &amp; Partners for HP! http://bit.ly/g2rU8 Have to go play with After Effects now! @goodby silverstein
positive,239,wieden,top ten most watched on Viral-Video Chart.  Love the nike #mostvaluablepuppets campaign from Wieden &amp; Kennedy http://bit.ly/nR1n9 @wieden
positive,251,g2,zomg!!! I have a G2!!!!!!! @g2
positive,252,g2,Ok so lots of buzz from IO2009 but how lucky are they - a Free G2!! http://is.gd/Hyzl @g2
positive,253,g2,just got a free G2 android at google i/o!!! @g2
positive,254,g2,Guess I'll be retiring my G1 and start using my developer G2 woot #googleio @g2
neutral,255,googleio,At GWT fireside chat @googleio @googleio
positive,256,googleio,I am happy for Philip being at GoogleIO today @googleio
positive,317,lakers,Lakers played great!  Cannot wait for Thursday night Lakers vs. ??? @lakers
neutral,328,viral marketing,"Hi there, does anyone have a great source for advice on viral marketing?... http://link.gs/YtZ8 @viral marketing"
positive,329,viral marketing,Judd Apatow creates fake sitcom on NBC.com to market his new movie... viral marketing at its best. http://is.gd/K0yK @viral marketing
neutral,330,viral marketing,"Here's A case study on how to use viral marketing to add over 10,000 people to your list http://snipr.com/i50oz @viral marketing"
negative,331,viral marketing,VIRAL MARKETING FAIL. This Acia Pills brand oughta get shut down for hacking into people's messenger's.  i get 5-6 msgs in a day! Arrrgh! @viral marketing
positive,388,"""night at the museum""","watching Night at The Museum . Lmao @""night at the museum"""
positive,389,"""night at the museum""","i loved night at the museum!!! @""night at the museum"""
neutral,390,"""night at the museum""","going to see the new night at the museum  movie with my family oh boy a three year old in the movies fuin @""night at the museum"""
positive,391,"""night at the museum""","just got back from the movies.  went to see the new night at the museum with rachel.  it was good @""night at the museum"""
neutral,392,"""night at the museum""","Just saw the new Night at the Museum movie...it was...okay...lol 7\10 @""night at the museum"""
neutral,393,"""night at the museum""","Going to see night at the museum 2 with tall boy @""night at the museum"""
positive,394,"""night at the museum""","@shannyoday I will take you on a date to see night at the museum 2 whenever you want...it looks soooooo good @""night at the museum"""
positive,395,"""night at the museum""","no watching The Night At The Museum. Getting Really Good @""night at the museum"""
positive,396,"""night at the museum""","Night at the Museum, Wolverine and junk food - perfect monday! @""night at the museum"""
positive,397,"""night at the museum""","saw night at the museum 2 last night.. pretty crazy movie.. but the cast was awesome so it was well worth it. Robin Williams forever! @""night at the museum"""
neutral,398,"""night at the museum""","I saw Night at the Museum: Battle of the Swithsonian today. It was okay. Your typical [kids] Ben Stiller movie. @""night at the museum"""
neutral,399,"""night at the museum""","Taking Katie to see Night at the Museum.  (she picked it) @""night at the museum"""
negative,400,"""night at the museum""","Night at the Museum tonite instead of UP. :( oh well. that 4 yr old better enjoy it. LOL @""night at the museum"""
neutral,401,gm,GM says expects announcment on sale of Hummer soon - Reuters: WDSUGM says expects announcment on sale of Hummer .. http://bit.ly/4E1Fv @gm
negative,402,gm,It's unfortunate that after the Stimulus plan was put in place twice to help GM on the back of the American people has led to the inevitable @gm
negative,403,gm,Tell me again why we are giving more $$ to GM?? We should use that $ for all the programs that support the unemployed. @gm
negative,404,gm,@jdreiss oh yes but if GM dies it will only be worth more boo hahaha @gm
negative,405,time warner,Time Warner cable is down again 3rd time since Memorial Day bummer! @time warner
negative,406,time warner,"I would rather pay reasonable yearly taxes for ""free"" fast internet, than get gouged by Time Warner for a slow connection. @time warner"
negative,407,time warner,NOOOOOOO my DVR just died and I was only half way through the EA presser. Hate you Time Warner @time warner
negative,408,time warner,F*ck Time Warner Cable!!! You f*cking suck balls!!! I have a $700 HD tv &amp; my damn HD channels hardly ever come in. Bullshit!! @time warner
negative,409,time warner,time warner has the worse customer service ever. I will never use them again @time warner
negative,410,time warner,Time warner is the devil. Worst possible time for the Internet to go out. @time warner
negative,411,time warner,Fuck no internet damn time warner! @time warner
negative,412,time warner,time warner really picks the worst time to not work. all i want to do is get to mtv.com so i can watch the hills. wtfffff. @time warner
negative,413,time warner,I hate Time Warner! Soooo wish I had Vios. Cant watch the fricken Mets game w/o buffering. I feel like im watching free internet porn. @time warner
negative,414,time warner,Ahh...got rid of stupid time warner today &amp; now taking a nap while the roomies cook for me. Pretty good end for a monday :) @time warner
negative,415,time warner,Time Warner's HD line up is crap. @time warner
negative,416,time warner,is being fucked by time warner cable. didnt know modems could explode. and Susan Boyle sucks too! @time warner
neutral,417,time warner,Time Warner Cable Pulls the Plug on 'The Girlfriend Experience' - (www.tinyurl.com/m595fk) @time warner
negative,418,time warner,Time Warner Cable slogan: Where calling it a day at 2pm Happens. @time warner
neutral,419,china,"Rocawear Heads to China, Building 300 Stores  - http://tinyurl.com/nofet3 @china"
neutral,420,china,"Climate focus turns to Beijing: The United Nations, the US and European governments have called on China to co-o.. http://tinyurl.com/lto92n @china"
neutral,421,china,myfoxdc Barrie Students Back from Trip to China: A Silver Spring high school's class trip to China has en.. http://tinyurl.com/nlhqba @china
neutral,422,china,"Three China aerospace giants develop Tianjin Binhai  New Area,  22.9 B yuan invested   http://bit.ly/mMiDv @china"
neutral,423,gm,http://xi.gs/04FO GM CEO: China will continue to be key partner @gm
neutral,424,gm,RT @LATimesautos is now the time to buy a GM car? http://bit.ly/nRzlu @gm
negative,425,surgery,Recovering from surgery..wishing @julesrenner was here :( @surgery
positive,426,dentist,"My wrist still hurts. I have to get it looked at. I HATE the dr/dentist/scary places. :( Time to watch Eagle eye. If you want to join, txt! @dentist"
neutral,427,dentist,Dentist tomorrow. Have to brush well in the morning. Like I make my hair all nice before I get it cut. Why? @dentist
negative,428,dentist,"THE DENTIST LIED! "" U WON'T FEEL ANY DISCOMORT! PROB WON'T EVEN NEED PAIN PILLS"" MAN U TWIPPIN THIS SHIT HURT!! HOW MANY PILLS CAN I TAKE!! @dentist"
negative,429,dentist,@kirstiealley my dentist is great but she's expensive...=( @dentist
neutral,430,dentist,@kirstiealley Pet Dentist http://www.funnyville.com/fv/pictures/dogdentures.shtml @dentist
positive,431,dentist,is studing math ;) tomorrow exam and dentist :) @dentist
negative,432,dentist,my dentist was wrong... WRONG @dentist
negative,433,dentist,Going to the dentist later.:| @dentist
negative,434,dentist,Son has me looking at cars online.  I hate car shopping.  Would rather go to the dentist!  Anyone with a good car at a good price to sell? @dentist
neutral,435,baseball,NCAA Baseball Super Regional - Rams Club http://bit.ly/Ro7nx @baseball
neutral,436,baseball,just started playing Major League Baseball 2K9. http://raptr.com/H3LLGWAR @baseball
neutral,437,baseball,Cardinals baseball advance to Super Regionals. Face CS-Fullerton Friday. @baseball
neutral,438,sony,Sony coupon code.. Expires soon.. http://www.coupondork.com/r/1796 @sony
neutral,439,safeway,waiting in line at safeway. @safeway
negative,440,safeway,luke and i got stopped walking out of safeway and asked to empty our pockets and lift our shirts. how jacked up is that? @safeway
neutral,441,safeway,Did not realize there is a gym above Safeway! @safeway
neutral,442,safeway,"@XPhile1908 I have three words for you: ""Safeway dot com"" @safeway"
positive,443,safeway,Safeway is very rock n roll tonight @safeway
neutral,444,safeway,Bout to hit safeway I gotta eat @safeway
neutral,445,safeway,Jake's going to safeway! @safeway
neutral,446,safeway,Found a safeway. Picking up a few staples. @safeway
neutral,447,safeway,Safeway Super-marketing via mobile coupons http://bit.ly/ONH7w @safeway
negative,448,safeway,The safeway bathroom still smells like ass! @safeway
negative,449,safeway,"At safeway on elkhorn, they move like they're dead! @safeway"
neutral,451,eating,Your Normal Weight (and How to Get There) ? Normal Eating Blog http://bit.ly/ZeT8O @eating
neutral,452,eating,Is Eating and Watching Movies.... @eating
neutral,456,eating,eating sashimi @eating
neutral,457,eating,is eating  home made yema @eating
neutral,458,eating,eating cake @eating
positive,531,nike,i love Dwight Howard's vitamin water commercial... now i wish he was with NIKE and not adidas. lol. @nike
negative,532,nike,Found NOTHING at Nike Factory :/ Off to Banana Republic Outlet! http://myloc.me/2zic @nike
neutral,533,nike,iPhone May Get Radio Tagging and Nike  : Recently-released iTunes version 8.2 suggests that VoiceOver functional.. http://tinyurl.com/oq5ctc @nike
positive,534,nike,is lovin his Nike  already and that's only from running on the spot in his bedroom @nike
neutral,556,jquery,Launched! http://imgsearch.net  #imgsearch #ajax #jquery #webapp @jquery
positive,557,jquery,@matthewcyan I finally got around to using jquery to make my bio collapse. Yay for slide animations. @jquery
neutral,558,jquery,RT @jquery: The Ultimate jQuery List - http://jquerylist.com/ @jquery
neutral,559,jquery,I just extracted and open-sourced a jQuery plugin from Stormweight to highlight text with a regular expression: http://bit.ly/ybJKb @jquery
neutral,560,jquery,@anna_debenham what was the php jquery hack? @jquery
neutral,561,jquery,jQuery Cheat Sheet http://www.javascripttoolbox.com/jquery/cheatsheet/ @jquery
neutral,562,jquery,Beginning JavaScript and CSS Development with jQuery #javascript #css #jquery http://bit.ly/TO3e5 @jquery
positive,563,warren buffet,"@PDubyaD right!!! LOL we'll get there!! I have high expectations, Warren Buffet style. @warren buffet"
positive,564,warren buffet,"RT @blknprecious1: RT GREAT @dbroos ""Someone's sitting in the shade today because someone planted a tree a long time ago.""- Warren Buffet @warren buffet"
neutral,565,warren buffet,Warren Buffet on the economy http://ping.fm/Lau0p @warren buffet
positive,566,warren buffet,"Warren Buffet became (for a time) the richest man in the United States, not by working but investing in 1 Big idea which lead to the fortune @warren buffet"
positive,567,notre dame school,"According to the create a school, Notre Dame will have 7 receivers in NCAA 10 at 84 or higher rating :) *sweet* @notre dame school"
neutral,568,notre dame school,All-Star Basketball Classic Tuesday Features Top Talent: Chattanooga's Notre Dame High School will play host.. http://bit.ly/qltJA @notre dame school
positive,569,kindle2,@BlondeBroad it's definitely under warranty &amp; my experience is the amazon support for kindle is great! had to contact them about my kindle2 @kindle2
neutral,570,kindle2,"RT Look, Available !Amazon Kindle2 &amp; Kindle DX, Get it Here: http://short.to/87ub The Top Electronic Book Reader Period, free 2 day ship ... @kindle2"
negative,571,time warner,Time Warner Road Runner customer support here absolutely blows. I hate not having other high-speed net options. I'm ready to go nuclear. @time warner
negative,572,time warner,Time Warner cable phone reps r dumber than nails!!!!! UGH! Cable was working 10 mins ago now its not WTF! @time warner
negative,573,time warner,@siratomofbones we tried but Time Warner wasn't being nice so we recorded today. :) @time warner
negative,574,time warner,OMG - time warner f'ed up my internet install - instead of today  its now NEXT saturday - another week w/o internet! &amp;$*ehfa^V9fhg[*# fml. @time warner
negative,575,time warner,"wth..i have never seen a line this loooong at time warner before, ugh. @time warner"
negative,576,time warner,Impatiently awaiting the arrival of the time warner guy. It's way too pretty to be inside all afternoon @time warner
neutral,577,federer,Man accosts Roger Federer during French Open http://ff.im/3HCPT @federer
negative,578,"""naive bayes""","Naive Bayes using EM for Text Classification. Really Frustrating... @""naive bayes"""
positive,585,stanford,We went to Stanford University today. Got a tour. Made me want to go back to college. It's also decided all of our kids will go there. @stanford
neutral,586,stanford,Investigation pending on death of Stanford CS prof / Google mentor Rajeev Motwani http://bit.ly/LwOUR tip @techmeme @stanford
neutral,587,stanford,"I'm going to bed. It was a successful weekend. Stanford, here I come. @stanford"
negative,588,car warranty call,"@KarrisFoxy If you're being harassed by calls about your car warranty, changing your number won't fix that. They call every number. #d-bags @car warranty call"
negative,589,car warranty call,Just blocked United Blood Services using Google Voice. They call more than those Car Warranty guys. @car warranty call
negative,594,at&t,#at&amp;t is complete fail. @at&t
negative,595,at&t,@broskiii OH SNAP YOU WORK AT AT&amp;T DON'T YOU @at&t
negative,596,at&t,@Mbjthegreat i really dont want AT&amp;T phone service..they suck when it comes to having a signal @at&t
negative,597,at&t,"I say we just cut out the small talk: AT&amp;T's new slogan: F__k you, give us your money. (Apologies to Bob Geldof.) @at&t"
negative,598,at&t,pissed about at&amp;t's mid-contract upgrade price for the iPhone (it's $200 more) I'm not going to pay $499 for something I thought was $299 @at&t
negative,599,at&t,Safari 4 is fast :) Even on my shitty AT&amp;T tethering. @at&t
negative,600,at&t,@ims What is AT&amp;T fucking up? @at&t
negative,601,at&t,@springsingfiend @dvyers @sethdaggett @jlshack AT&amp;T dropped the ball and isn't supporting crap with the new iPhone 3.0... FAIL #att SUCKS!!! @at&t
negative,602,at&t,"@MMBarnhill yay, glad you got the phone! Still, damn you, AT&amp;T. @at&t"
neutral,603,wave sandbox,Google Wave Developer Sandbox Account Request http://bit.ly/2NYlc @wave sandbox
negative,613,bing,"Talk is Cheap: Bing that, I?ll stick with Google. http://bit.ly/XC3C8 @bing"
negative,614,summize,"@defsounds WTF is the point of deleting tweets if they can still be found in summize and searches? Twitter, please fix that. Thanks and bye @summize"
neutral,626,google,@mattcutts have google profiles stopped showing up in searches? cant see them anymore @google
positive,627,google,@ArunBasilLal I love Google Translator too ! :D Good day mate ! @google
positive,1002,kindle2,reading on my new Kindle2! @kindle2
positive,1003,kindle2,My Kindle2 came and I LOVE it! :) @kindle2
positive,1004,kindle2,"LOVING my new Kindle2.  Named her Kendra in case u were wondering. The ""cookbook"" is THE tool cuz it tells u all the tricks!  Best gift EVR! @kindle2"
negative,1005,aig,The real AIG scandal / http://bit.ly/b82Px @aig
neutral,1006,twitter,Any twitter to aprs apps yet? @twitter
neutral,1007,twitter,45 Pros You Should Be Following on Twitter - http://is.gd/sMbZ @twitter
positive,1008,obama,Obama is quite a good comedian! check out his dinner speech on CNN :) very funny jokes. @obama
positive,1009,obama,"' Barack Obama shows his funny side "" &gt;&gt; http://tr.im/l0gY !! Great speech.. @obama"
positive,1010,obama,"I like this guy : ' Barack Obama shows his funny side "" &gt;&gt; http://tr.im/l0gY !! @obama"
positive,1011,obama,Obama's speech was pretty awesome last night! http://bit.ly/IMXUM @obama
positive,1012,obama,"Reading  ""Bill Clinton Fail - Obama Win?"" http://tinyurl.com/pcyxj7 @obama"
