Sentiment,TweetId,Topic,TweetText
positive,1013,obama,Obama More Popular Than U.S. Among Arabs: Survey: President Barack Obama's popularity in leading Arab countries .. http://tinyurl.com/prlvqu @obama
positive,1014,obama,Obama's got JOKES!! haha just got to watch a bit of his after dinner speech from last night... i'm in love with mr. president ;) @obama
negative,1015,lebron,LEbron james got in a car accident i guess..just heard it on evening news...wow i cant believe it..will he be ok ? http://twtad.com/69750 @lebron
positive,1016,lebron,is it me or is this the best the playoffs have been in years oh yea lebron and melo in the finals @lebron
positive,1017,lebron,"@khalid0456 No, Lebron is the best @lebron"
positive,1018,lebron,@the_real_usher LeBron is cool.  I like his personality...he has good character. @lebron
positive,1019,lebron,Watching Lebron highlights. Damn that niggas good @lebron
positive,1020,lebron,@Lou911 Lebron is MURDERING shit. @lebron
positive,1021,lebron,@uscsports21 LeBron is a monsta and he is only 24. SMH The world ain't ready. @lebron
positive,1022,lebron,@cthagod when Lebron is done in the NBA he will probably be greater than Kobe. Like u said Kobe is good but there alot of 'good' players. @lebron
positive,1023,lebron,KOBE IS GOOD BT LEBRON HAS MY VOTE @lebron
negative,1024,lebron,Kobe is the best in the world not lebron . @lebron
positive,1025,world cup,"@asherroth World Cup 2010 Access?? Damn, that's a good look! @world cup"
positive,1026,world cup 2010,Just bought my tickets for the 2010 FIFA World Cup in South Africa. Its going to be a great summer. http://bit.ly/9GEZI @world cup 2010
neutral,1031,fred wilson,Share: Disruption...Fred Wilson's slides for his talk at Google HQ  http://bit.ly/Bo8PG @fred wilson
negative,2010,"""booz allen""","I have to go to Booz Allen Hamilton for a 2hr meeting :(  But then i get to go home :) @""booz allen"""
positive,2011,indian election,"The great Indian tamasha truly will unfold from May 16, the result day for Indian General Election. @indian election"
positive,2012,kindle2,"@crlane I have the Kindle2. I've seen pictures of the DX, but haven't seen it in person. I love my Kindle - I'm on it everyday. @kindle2"
positive,2013,kindle2,@criticalpath Such an awesome idea - the  continual learning program with a Kindle2  http://bit.ly/1ZLfF @kindle2
neutral,2014,40d,ok.. do nothing.. just thinking about 40D @40d
positive,2015,40d,"@faithbabywear Ooooh, what model are you getting??? I have the 40D and LOVE LOVE LOVE LOVE it! @40d"
positive,2018,india election,The Times of India: The wonder that is India's election. http://bit.ly/p7u1H @india election
positive,2080,google,http://is.gd/ArUJ Good video from Google on using search options. @google
negative,2083,itchy,@ambcharlesfield lol. Ah my skin is itchy :( damn lawnmowing. @itchy
negative,2084,itchy,itchy back!! dont ya hate it! @itchy
positive,2085,stanford,Stanford Charity Fashion Show a top draw http://cli.gs/NeNuAH @stanford
positive,2086,stanford,Stanford University?s Facebook Profile is One of the Most Popular Official University Pages - http://tinyurl.com/p5b3fl @stanford
positive,2087,lyx,Lyx is cool. @lyx
positive,2093,Danny Gokey,SOOO DISSAPOiNTED THEY SENT DANNY GOKEY HOME... YOU STiLL ROCK ...DANNY ... MY HOMETOWN HERO !! YEAH MiLROCKEE!! @Danny Gokey
positive,2094,Danny Gokey,"RT @PassionModel 'American Idol' fashion: Adam Lambert tones down, Danny Gokey cute ... http://cli.gs/7JWSHV @Danny Gokey"
positive,2095,Danny Gokey,@dannygokey I love you DANNY GOKEY!! :) @Danny Gokey
neutral,2096,gm,RT @justindavey: RT @tweetmeme GM OnStar now instantly sends accident location coordinates to 911 | GPS Obsessed http://bit.ly/16szL1 @gm
negative,2097,sleep,so tired. i didn't sleep well at all last night. @sleep
negative,2098,san francisco,Boarding plane for San Francisco in 1 hour; 6 hr flight. Blech. @san francisco
negative,2099,san francisco,bonjour San Francisco. My back hurts from last night.. @san francisco
neutral,2100,san francisco,"breakers. in San Francisco, CA http://loopt.us/4v88Bw.t @san francisco"
neutral,2101,san francisco,Heading to San Francisco @san francisco
positive,2102,san francisco,With my best girl for a few more hours in San francisco. Mmmmmfamily is wonderful! @san francisco
negative,2103,aig,"F*** up big, or go home - AIG @aig"
positive,2104,star trek,Went to see the Star Trek movie last night.  Very satisfying. @star trek
positive,2105,star trek,"I can't wait, going to see star trek tonight!! @star trek"
positive,2106,star trek,Star Trek was as good as everyone said!! @star trek
positive,2107,Malcolm Gladwell,am loving new malcolm gladwell book - outliers @Malcolm Gladwell
positive,2108,Malcolm Gladwell,I highly recommend Malcolm Gladwell's 'The Tipping Point.' My next audiobook will probably be one of his as well. @Malcolm Gladwell
negative,2109,Malcolm Gladwell,Malcolm Gladwell is a genius at tricking people into not realizing he's a fucking idiot @Malcolm Gladwell
negative,2110,Malcolm Gladwell,"@sportsguy33 hey no offense but malcolm gladwell is a pretenious, annoying cunt and he brings you down. cant read his shit @Malcolm Gladwell"
positive,2111,Malcolm Gladwell,RT @clashmore: http://bit.ly/SOYv7  Great article by Malcolm Gladwell. @Malcolm Gladwell
positive,2112,Malcolm Gladwell,I seriously underestimated Malcolm Gladwell.  I want to meet this dude. @Malcolm Gladwell
negative,2113,comcast,i hate comcast right now. everything is down cable internet &amp; phone....ughh what am i to do @comcast
negative,2114,comcast,Comcast sucks. @comcast
negative,2115,comcast,The day I never have to deal with Comcast again will rank as one of the best days of my life. @comcast
negative,2116,comcast,@Dommm did comcast fail again?? @comcast
neutral,2117,"""twitter api""","How do you use the twitter API?... http://bit.ly/4VBhH @""twitter api"""
negative,2118,"""twitter api""","curses the Twitter API limit @""twitter api"""
negative,2119,"""twitter api""","Now I can see why Dave Winer screams about lack of Twitter API, its limitations and access throttles! @""twitter api"""
neutral,2120,"""twitter api""","testing Twitter API @""twitter api"""
negative,2121,"""twitter api""","Arg. Twitter API is making me crazy. @""twitter api"""
neutral,2122,"""twitter api""","Testing Twitter API. Remote Update @""twitter api"""
positive,2137,wolfram alpha,I'm really loving the new search site Wolfram/Alpha. Makes Google seem so ... quaint. http://www72.wolframalpha.com/ @wolfram alpha
negative,2138,wolfram alpha,"#wolfram Alpha SUCKS! Even for researchers the information provided is less than you can get from #google or #wikipedia, totally useless! @wolfram alpha"
positive,2139,nike,Off to the NIKE factory!!! @nike
positive,2140,nike,New nike muppet commercials are pretty cute. Why do we live together again? @nike
neutral,2141,nike,New blog post: Nike Zoom LeBron Soldier 3 (III) - White / Black - Teal http://bit.ly/rouUS @nike
neutral,2142,nike,New blog post: Nike Trainer 1 http://bit.ly/394bp @nike
negative,2143,nike,@Fraggle312 oh those are awesome! i so wish they weren't owned by nike :( @nike
positive,2158,shoreline amphitheatre,@tonyhawk http://twitpic.com/5c7uj - AWESOME!!! Seeing the show Friday at the Shoreline Amphitheatre. Never seen NIN before. Can't wait. ... @shoreline amphitheatre
negative,2159,weka,"arhh, It's weka bug. = ="" and I spent almost two hours to find that out. crappy me @weka"
positive,2160,50d,"@mitzs hey bud :) np I do so love my 50D, although I'd love a 5D mkII more @50d"
positive,2161,50d,@jonduenas @robynlyn just got us a 50D for the office. :D @50d
positive,2162,50d,Just picked up my new Canon 50D...it's beautiful!!  Prepare for some seriously awesome photography! @50d
positive,2163,50d,Just got my new toy. Canon 50D. Love love love it! @50d
positive,2164,lambda calculus,Learning about lambda calculus :) @lambda calculus
neutral,2165,east palo alto,"#jobs #sittercity Help with taking care of sick child (East Palo Alto, CA) http://tinyurl.com/qwrr2m @east palo alto"
positive,2166,east palo alto,I'm moving to East Palo Alto! @east palo alto
positive,2171,stanford,@ atebits I just finished watching your Stanford iPhone Class session. I really appreciate it. You Rock! @stanford
positive,2172,stanford,@jktweet Hi! Just saw your Stanford talk and really liked your advice. Just saying Hi from Singapore (yes the videos do get around) @stanford
neutral,2173,stanford,#MBA Admissions Tips Stanford GSB Deadlines and Essay Topics 2009-2010 http://tinyurl.com/pet4fd @stanford
neutral,2174,stanford,Ethics and nonprofits - http://bit.ly/qsXRp  #stanford #socialentrepreneurship @stanford
positive,2175,lakers,LAKERS tonight let's go!!!! @lakers
positive,2176,lakers,Will the Lakers kick the Nuggets ass tonight? @lakers
negative,2177,north korea,Oooooooh... North Korea is in troubleeeee! http://bit.ly/19epAH @north korea
negative,2178,north korea,Wat the heck is North Korea doing!!??!! They just conducted powerful nuclear tests! Follow the link: http://www.msnbc.msn.com/id/30921379 @north korea
negative,2179,north korea,Listening to Obama... Friggin North Korea... @north korea
negative,2180,pelosi,"I just realized we three monkeys in the white Obama.Biden,Pelosi . Sarah Palin 2012 @pelosi"
negative,2181,pelosi,@foxnews Pelosi should stay in China and never come back. @pelosi
negative,2182,pelosi,Nancy Pelosi gave the worst commencement speech I've ever heard. Yes I'm still bitter about this @pelosi
negative,2183,insects,ugh. the amount of times these stupid insects have bitten me. Grr.. @insects
positive,2184,insects,Prettiest insects EVER - Pink Katydids: http://bit.ly/2Upw2p @insects
negative,2185,insects,Just got barraged by a horde of insects hungry for my kitchen light. So scary. @insects
positive,2187,mcdonalds,Just had McDonalds for dinner. :D It was goooood. Big Mac Meal. ;) @mcdonalds
positive,2188,mcdonalds,AHH YES LOL IMA TELL MY HUBBY TO GO GET ME SUM MCDONALDS =] @mcdonalds
positive,2190,mcdonalds,Stopped to have lunch at McDonalds. Chicken Nuggetssss! :) yummmmmy. @mcdonalds
positive,2191,mcdonalds,Could go for a lot of McDonalds. i mean A LOT. @mcdonalds
positive,2193,exam,my exam went good. @HelloLeonie: your prayers worked (: @exam
positive,2194,exam,"Only one exam left, and i am so happy for it :D @exam"
negative,2195,exam,Math review. Im going to fail the exam. @exam
negative,2196,cheney,Colin Powell rocked yesterday on CBS. Cheney needs to shut the hell up and go home.Powell is a man of Honor and served our country proudly @cheney
negative,2197,cheney,obviously not siding with Cheney here: http://bit.ly/19j2d @cheney
positive,2202,mashable,Absolutely hilarious!!! from @mashable:  http://bit.ly/bccWt @mashable
positive,2203,mashable,@mashable I never did thank you for including me in your Top 100 Twitter Authors! You Rock! (&amp; I New Wave :-D) http://bit.ly/EOrFV @mashable
neutral,2204,jquery book,Learning jQuery 1.3 Book Review - http://cfbloggers.org/?c=30629 @jquery book
positive,2205,jquery book,RT @shrop: Awesome JQuery reference book for Coda! http://www.macpeeps.com/coda/ #webdesign @jquery book
positive,2206,goodby silverstein,I've been sending e-mails like crazy today to my contacts...does anyone have a contact at Goodby SIlverstein...I'd love to speak to them @goodby silverstein
neutral,2207,goodby silverstein,Adobe CS4 commercial by Goodby Silverstein: http://bit.ly/1aikhF @goodby silverstein
positive,2208,goodby silverstein,"Goodby, Silverstein's new site... http://www.goodbysilverstein.com/ I enjoy it. @goodby silverstein"
positive,2220,g2,Wow everyone at the Google I/O conference got free G2's with a month of unlimited service @g2
positive,2221,g2,@vkerkez dood I got a free google android phone at the I/O conference. The G2! @g2
positive,2222,g2,"@Orli the G2 is amazing btw, a HUGE improvement over the G1 @g2"
positive,2223,googleio,"HTML 5 Demos! Lots of great stuff to come! Yes, I'm excited. :) http://htmlfive.appspot.com #io2009 #googleio @googleio"
positive,2224,googleio,@googleio http://twitpic.com/62shi - Yay! Happy place! Place place!  I love Google! @googleio
positive,2225,googleio,#GoogleIO | O3D - Bringing 3d graphics to the browser. Very nice tbh. Funfun. @googleio
positive,2295,viral marketing,"Awesome viral marketing for ""Funny People"" http://www.nbc.com/yo-teach/ @viral marketing"
neutral,2296,hitler,"Watching a programme about the life of Hitler, its only enhancing my geekiness of history. @hitler"
negative,2355,"""night at the museum""","saw night at the museum out of sheer desperation. who is funding these movies? @""night at the museum"""
positive,2356,"""night at the museum""","Night At The Museum 2? Pretty furkin good. @""night at the museum"""
positive,2357,"""night at the museum""","Watching Night at the Museum - giggling. @""night at the museum"""
neutral,2358,"""night at the museum""","@pambeeslyjenna Jenna, I went to see Night At The Museum 2 today and I was so surprised to see three cast members from The Office... @""night at the museum"""
neutral,2359,"""night at the museum""","About to watch Night at the Museum with Ryan and Stacy @""night at the museum"""
neutral,2360,"""night at the museum""","Getting ready to go watch Night at the Museum 2.  Dum dum, you give me gum gum! @""night at the museum"""
negative,2361,"""night at the museum""","Back from seeing 'Star Trek' and 'Night at the Museum.' 'Star Trek' was amazing, but 'Night at the Museum' was; eh. @""night at the museum"""
positive,2362,"""night at the museum""","just watched night at the museum 2! so stinkin cute! @""night at the museum"""
positive,2363,"""night at the museum""","So, Night at the Museum 2 was AWESOME! Much better than part 1. Next weekend we'll see Up. @""night at the museum"""
neutral,2364,"""night at the museum""","I think I may have a new favorite restaurant. On our way to see ""Night at the Museum 2"". @""night at the museum"""
neutral,2365,"""night at the museum""","UP! was sold out, so i'm seeing Night At The Museum 2. I'm __ years old. @""night at the museum"""
positive,2366,"""night at the museum""","saw the new Night at the Museum and i loved it. Next is to go see UP in 3D @""night at the museum"""
negative,2367,gm,It is a shame about GM. What if they are forced to make only cars the White House THINKS will sell? What do you think? @gm
negative,2368,gm,"As u may have noticed, not too happy about the GM situation, nor AIG, Lehman, et al @gm"
neutral,2369,gm,Obama: Nationalization of GM to be short-term   (AP) http://tinyurl.com/md347r @gm
negative,2370,gm,@Pittstock $GM good riddance.  sad though. @gm
negative,2371,gm,"I Will NEVER Buy a Government Motors Vehicle: Until just recently, I drove GM cars. Since 1988, when I bought a .. http://tinyurl.com/lulsw8 @gm"
negative,2372,gm,Having the old Coca-Cola guy on the GM board is stupid has heck! #tcot #ala @gm
negative,2373,gm,#RantsAndRaves The worst thing about GM (concord / pleasant hill / martinez): is the fucking UAW. ..   http://buzzup.com/4ueb @gm
negative,2374,gm,"Give a man a fish, u feed him for the day. Teach him to fish, u feed him for life. Buy him GM, and u F**K him over for good. @gm"
negative,2375,gm,"The more I hear about this GM thing the more angry I get. Billions wasted, more bullshit. All for something like 40k employees and all the.. @gm"
negative,2376,gm,@QuantTrader i own a GM car and it is junk as far as quality compared to a honda @gm
negative,2377,gm,sad day...bankrupt GM @gm
negative,2378,gm,is upset about the whole GM thing. life as i know it is so screwed up @gm
negative,2379,time warner,whoever is running time warner needs to be repeatedly raped by a rhino so they understand the consequences of putting out shitty cable svcs @time warner
neutral,2380,time warner,"Time Warner CEO hints at online fees for magazines      (AP) - Read from Mountain View,United States. Views 16209 http://bit.ly/UdFCH @time warner"
negative,2381,time warner,#WFTB Joining a bit late. My connection was down (boo time warner) @time warner
negative,2382,time warner,Cox or Time Warner?  Cox is cheaper and gets a B on dslreports.  TW is more expensive and gets a C. @time warner
negative,2383,time warner,i am furious with time warner and their phone promotions! @time warner
negative,2384,time warner,Just got home from chick-fil-a with the boys. Damn my internets down =( stupid time warner @time warner
negative,2385,time warner,could time-warner cable suck more?  NO. @time warner
negative,2386,time warner,Pissed at Time Warner for causin me to have slow internet problems @time warner
negative,2387,time warner,"@sportsguy33 Ummm, having some Time Warner problems? @time warner"
negative,2388,time warner,You guys see this?  Why does Time Warner have to suck so much ass?  Really wish I could get U-Verse at my apartment. http://bit.ly/s594j @time warner
negative,2389,time warner,"RT @sportsguy33 The upside to Time Warner: unhelpful phone operators   superslow on-site service. Crap, that's not an upside. @time warner"
negative,2390,time warner,"RT @sportsguy33: New Time Warner slogan: ""Time Warner, where we make you long for the days before cable."" @time warner"
negative,2391,time warner,"confirmed: it's Time Warner's fault, not Facebook's, that fb is taking about 3 minutes to load. so tempted to switch to verizon =/ @time warner"
negative,2392,time warner,@sportsguy33 Time Warner = epic fail @time warner
neutral,2393,china,Lawson to head Newedge Hong Kong http://bit.ly/xLQSD #business #china @china
neutral,2394,china,Weird Piano Guitar House in China! http://u2s.me/72i8 @china
neutral,2395,gm,Send us your GM/Chevy photos http://tinyurl.com/luzkpq @gm
negative,2396,gm,I know. How sad is that?  RT @caseymercier: 1st day of hurricane season. That's less scarey than govt taking over GM. @gm
negative,2397,gm,"GM files Bankruptcy, not a good sign... @gm"
positive,2398,yankees,yankees won mets lost. its a good day. @yankees
positive,2399,dentist,My dentist appt today was actually quite enjoyable. @dentist
negative,2400,dentist,I hate the effing dentist. @dentist
neutral,2401,dentist,@stevemoakler i had a dentist appt this morning and had the same conversation! @dentist
negative,2402,dentist,@kirstiealley I hate going to the dentist.. !!! @dentist
negative,2403,dentist,i hate the dentist....who invented them anyways? @dentist
negative,2404,dentist,this dentist's office is cold :/ @dentist
neutral,2405,dentist,Check this video out -- David After Dentist http://bit.ly/47aW2 @dentist
neutral,2406,dentist,First dentist appointment [in years] on Wednesday possibly. @dentist
neutral,2407,baseball,Tom Shanahan's latest column on SDSU and its NCAA Baseball Regional appearance: http://ow.ly/axhu @baseball
neutral,2408,baseball,BaseballAmerica.com: Blog: Baseball America Prospects Blog ? Blog ... http://bit.ly/EtT8a @baseball
neutral,2409,baseball,Portland city politics may undo baseball park http://tinyurl.com/lpjquj @baseball
neutral,2410,safeway,"RT @WaterSISWEB: CA Merced's water bottled by Safeway, resold at a profit: Wells are drying up across the county http://tinyurl.com/mb573s @safeway"
neutral,2411,safeway,dropped her broccoli walking home from safeway! ;( so depressed @safeway
neutral,2412,safeway,@ronjon we don't have Safeway. @safeway
positive,2413,safeway,Just applied at Safeway!(: Yeeeee! @safeway
negative,2414,safeway,@ Safeway. Place is a nightmare right now. Bumming. @safeway
neutral,2415,safeway,at safeway with dad @safeway
negative,2416,safeway,"HATE safeway select green tea icecream! bought two cartons, what a waste of money.  &gt;_&lt; @safeway"
neutral,2417,safeway,"Safeway with Marvin, Janelle, and Auntie Lhu @safeway"
neutral,2418,safeway,Safeway offering mobile coupons http://bit.ly/ONH7w @safeway
neutral,2419,driving,"Phillies Driving in the Cadillac with the Top Down in Cali, Win 5-3 - http://tinyurl.com/nzcjqa @driving"
neutral,2421,eating,Saved money by opting for grocery store trip and stocking food in hotel room fridge vs. eating out every night while out of town. @eating
neutral,2422,eating,"Lounging around, eating Taco Bell and watching NCIS before work tonight. Need help staying awake. @eating"
neutral,2426,eating,eating breakfast and then school @eating
neutral,2427,eating,still hungry after eating.... @eating
neutral,2428,eating,10 tips for healthy eating ? ResultsBy Fitness Blog :: Fitness ... http://bit.ly/62gFn @eating
neutral,2429,eating,"with the boyfriend, eating a quesadilla @eating"
neutral,2430,eating,"Eating dinner. Meat, chips, and risotto. @eating"
neutral,2502,nike,got a new pair of nike shoes. pics up later @nike
neutral,2503,nike,"Nike SB Blazer High ""ACG"" Custom - Brad Douglas - http://timesurl.at/45a448 @nike"
positive,2504,nike,Nike rocks. I'm super grateful for what I've done with them :) &amp; the European Division of NIKE is BEYOND! @whitSTYLES @muchasmuertes @nike
neutral,2505,nike,Nike Air Yeezy Khaki/Pink Colorway Release - http://shar.es/bjfN @nike
positive,2506,nike,@evelynbyrne have you tried Nike  ? V. addictive. @nike
neutral,2507,nike,@erickoston That looks an awful lot like one of Nike's private jets....I'm just sayin.... @nike
positive,2508,nike,The Nike Training Club (beta) iPhone app looks very interesting. @nike
negative,2529,jquery,argghhhh why won't  my jquery appear in safari bad safari !!! @jquery
neutral,2530,jquery,DevSnippets : jQuery Tools - Javascript UI Components for the Web... http://inblogs.org/go/hfuqt @jquery
neutral,2531,jquery,"all about Ajax,jquery ,css ,JavaScript and more... (many examples) http://ajaxian.com/ @jquery"
positive,2532,jquery,"I'm ready to drop the pretenses, I am forever in love with jQuery, and I want to marry it. Sorry ladies, this nerd is jquery.spokenFor.js @jquery"
neutral,2533,jquery,"This is cold.. I was looking at google's chart//visualization API and found this jQuery ""wrapper"" for the API...  http://tinyurl.com/mq52bq @jquery"
neutral,2534,jquery,I spent most of my day reading a jQuery book. Now to start drinking some delirium tremens. @jquery
neutral,2535,jquery,jquery Selectors http://codylindley.com/jqueryselectors/ @jquery
neutral,2536,jquery,How to implement a news ticker with jQuery and ten lines of code http://bit.ly/CZnFJ @jquery
neutral,2537,warren buffet,What's Buffet Doing? Warren Buffett Kicks Butt In Battle of the Boots: Posted By:Alex Crippe.. http://bit.ly/AUIzO @warren buffet
positive,2538,warren buffet,"SUPER INVESTORS: A great weekend read here from Warren Buffet. Oldie, but a goodie. http://tinyurl.com/oqxgga @warren buffet"
neutral,2539,warren buffet,I'm truly braindead.  I couldn't come up with Warren Buffet's name to save my soul @warren buffet
positive,2540,warren buffet,"reading Michael Palin book, The Python Years...great book. I also recommend Warren Buffet &amp; Nelson Mandela's bio @warren buffet"
positive,2541,notre dame school,"I mean, I'm down with Notre Dame if I have to.  It's a good school, I'd be closer to Dan, I'd enjoy it. @notre dame school"
negative,2543,time warner,"I can't watch TV without a Tivo.  And after all these years, the Time/Warner DVR  STILL sucks. http://www.davehitt.com/march03/twdvr.html @time warner"
positive,2544,federer,I'd say some sports writers are idiots for saying Roger Federer is one of the best ever in Tennis.  Roger Federer is THE best ever in Tennis @federer
negative,2545,kindle2,I still love my Kindle2 but reading The New York Times on it does not feel natural. I miss the Bloomingdale ads. @kindle2
positive,2546,kindle2,I love my Kindle2. No more stacks of books to trip over on the way to the loo. @kindle2
negative,2558,at&t,"Although today's keynote rocked, for every great announcement, AT&amp;T shit on us just a little bit more. @at&t"
negative,2559,at&t,"@sheridanmarfil - its not so much my obsession with cell phones, but the iphone!  i'm a slave to at&amp;t forever because of it. :) @at&t"
neutral,2560,at&t,@freitasm oh I see. I thought AT&amp;T were 900MHz WCDMA? @at&t
neutral,2561,at&t,@Plip Where did you read about tethering support Phil?  Just AT&amp;T or will O2 be joining in? @at&t
negative,2562,at&t,Fuzzball is more fun than AT&amp;T ;P http://fuzz-ball.com/twitter @at&t
negative,2563,at&t,"Today is a good day to dislike AT&amp;T. Vote out of office indeed, @danielpunkass @at&t"
positive,2564,wave sandbox,GOT MY WAVE SANDBOX INVITE! Extra excited! Too bad I have class now... but I'll play with it soon enough! #io2009 #wave @wave sandbox
negative,2575,summize,looks like summize has gone down. too many tweets from WWDC perhaps? @summize
neutral,2576,kindle2,I hope the girl at work  buys my Kindle2 @kindle2
neutral,2577,kindle2,Missed this insight-filled May column: One smart guy looking closely at why he's impressed with Kindle2 http://bit.ly/i0peY @wroush @kindle2
positive,2578,kindle2,"@sklososky Thanks so much!!! ...from one of your *very* happy Kindle2 winners ; ) I was so surprised, fabulous. Thank you! Best, Kathleen @kindle2"
negative,2579,iphone app,Man I kinda dislike Apple right now. Case in point: the iPhone 3GS. Wish there was a video recorder app. Please?? http://bit.ly/DZm1T @iphone app
positive,7011,kindle2,@cwong08 I have a Kindle2 (&amp; Sony PRS-500). Like it! Physical device feels good. Font is nice. Pg turns are snappy enuf. UI a little klunky. @kindle2
positive,7012,kindle2,"The #Kindle2 seems the best eReader, but will it work in the UK and where can I get one? @kindle2"
positive,7015,google,"I have a google addiction. Thank you for pointing that out, @annamartin123. Hahaha. @google"
neutral,7055,visa card,@ruby_gem My primary debit card is Visa Electron. @visa card
neutral,8051,visa card,Off to the bank to get my new visa platinum card @visa card
negative,8052,visa card,"dearest @google, you rich bastards! the VISA card you sent me doesn't work. why screw a little guy like me? @visa card"
neutral,13051,Bobby Flay,has a date with bobby flay and gut fieri from food network @Bobby Flay
positive,13052,Bobby Flay,Excited about seeing Bobby Flay and Guy Fieri tomorrow at the Great American Food &amp; Music Fest! @Bobby Flay
positive,13053,Bobby Flay,Gonna go see Bobby Flay 2moro at Shoreline. Eat and drink. Gonna be good. @Bobby Flay
positive,13054,Bobby Flay,can't wait for the great american food and music festival at shoreline tomorrow.  mmm...katz pastrami and bobby flay. yes please. @Bobby Flay
positive,13055,Bobby Flay,"My dad was in NY for a day, we ate at MESA grill last night and met Bobby Flay. So much fun, except I completely lost my voice today. @Bobby Flay"
negative,13073,latex,Fighting with LaTex. Again... @latex
negative,13074,latex,@Iheartseverus we love you too and don't want you to die!!!!!!  Latex = the devil @latex
negative,13075,latex,"7 hours. 7 hours of inkscape crashing, normally solid as a rock. 7 hours of LaTeX complaining at the slightest thing. I can't take any more. @latex"
neutral,13076,iran,How to Track Iran with Social Media: http://bit.ly/2BoqU @iran
negative,13077,iran,Shit's hitting the fan in Iran...craziness indeed #iranelection @iran
negative,13078,iran,Monday already. Iran may implode. Kitchen is a disaster. @annagoss seems happy. @sebulous had a nice weekend and @goldpanda is great. whoop. @iran
neutral,14045,aapl,Twitter Stock buzz: $AAPL $ES_F $SPY $SPX $PALM  (updated: 12:00 PM) @aapl
positive,14046,Bobby Flay,getting ready to test out some burger receipes this weekend. Bobby Flay has some great receipes to try. Thanks Bobby. @Bobby Flay
neutral,14049,Bobby Flay,@johncmayer is Bobby Flay joining you? @Bobby Flay
positive,14050,Bobby Flay,i lam so in love with Bobby Flay... he is my favorite. RT @terrysimpson: @bflay you need a place in Phoenix. We have great peppers here! @Bobby Flay
negative,14069,latex,"I just created my first LaTeX file from scratch. That didn't work out very well. (See @amandabittner , it's a great time waster) @latex"
positive,14070,latex,using Linux and loving it - so much nicer than windows... Looking forward to using the wysiwyg latex editor! @latex
positive,14071,latex,"After using LaTeX a lot, any other typeset mathematics just looks hideous. @latex"
neutral,14072,latex,Ask Programming: LaTeX or InDesign?: submitted by calcio1 [link] [1 comment] http://tinyurl.com/myfmf7 @latex
negative,14073,latex,"On that note, I hate Word. I hate Pages. I hate LaTeX. There, I said it. I hate LaTeX. All you TEXN3RDS can come kill me now. @latex"
positive,14074,latex,Ahhh... back in a *real* text editing environment. I &lt;3 LaTeX. @latex
negative,14075,iran,"Trouble in Iran, I see. Hmm. Iran. Iran so far away. #flockofseagullsweregeopoliticallycorrect @iran"
negative,14076,iran,Reading the tweets coming out of Iran... The whole thing is terrifying and incredibly sad... @iran
